Fecha;pm25;so2;ws;wd
180813;12;10,14;2,554068;181,6421208
180814;21;19,31;1,45926275;224,6243625
180815;19;6,69;1,841133292;137,9980333
180816;16;6,62;1,661563625;148,8618125
180817;22;10,94;1,333584792;176,168525
180818;16;8,32;3,944658875;194,1317542
180819;17;16,49;2,183378292;181,0548625
180820;14;1,91;1,303878333;158,9145708
180821;23;12,3;1,048165708;169,0540375
180822;22;6,39;1,300813208;184,3883542
180823;13;14,14;1,63215975;164,9680625
180824;11;19,71;3,2263515;206,9624167
180825;17;12,46;2,299907125;166,6664125
180826;16;4,39;1,079781333;121,5504208
180827;8;2,01;1,211444333;169,9759917
180828;19;5,3;1,957963583;232,0067208
180829;20;3,24;1,59250625;205,4454917
180830;16;1,49;1,442952583;161,4318625
180831;14;2,69;1,354825708;145,1233542
180901;17;8,35;2,033503542;164,2101042
180902;16;4,83;2,155923458;163,8179021
180903;18;13,31;1,747169292;132,2520058
180904;18;1,92;2,302990958;107,7945417
180905;10;2,05;1,890287417;171,3331
180906;15;5,4;2,112833458;148,3916196
180907;15;2,78;1,695701875;177,1158942
180908;18;3,24;2,107673917;140,2456083
180909;16;2,28;2,066359583;140,5515833
180910;17;3,17;1,722262917;130,0174583
180911;19;6,45;1,786625642;180,3534208
180912;19;9,47;1,761636292;153,4079573
180913;17;2,48;1,118164833;158,1019667
180914;16;3,92;1,061574208;165,08157
180915;15;2,6;0,887564546;162,9683167
180916;20;4,72;2,345921375;145,3993958
180917;22;5,85;1,936825138;167,3935625
180918;9;3,09;1,913404708;179,6827458
180919;15;6,37;1,855863333;131,350925
180920;15;5,42;1,867995667;172,9278292
180921;15;10,95;1,828851583;213,6438792
180922;12;16,4;1,757428583;215,0856333
180923;9;3,53;3,06523275;191,3710167
180924;10;5,6;1,958139083;173,5934542
180925;15;5,11;1,705623458;159,1220875
180926;12;3,58;1,486126042;177,7841392
180927;10;1,76;1,255792083;150,1200292
180928;13;2,79;1,55919625;179,1672333
180929;8;5,49;2,028766958;202,7843792
180930;6;4,78;2,752772292;202,0067167
181001;9;5,08;2,630197583;194,2669125
181002;17;4,72;2,43137725;159,5198333
181003;15;8,9;2,124458417;156,9087925
181004;14;1,77;2,21252875;127,3403254
181005;11;3,55;2,102193542;171,8749583
181006;22;7,03;2,064978875;206,3420375
